,id_usuario,resgate,Ultima_compra,ultimas_compras,numero_ultimas_compras_x,data_impacto,IPT_x,ipt_campanha_x,delta,ipt_impacto_x,delta_resgate_x,IPT_y,ipt_impacto_y,delta_resgate_y,ipt_campanha_y,numero_ultimas_compras_y,delta_ipt,result_rel
0,9323369,2019-05-28T23:30:38.000-03:00,2019-05-25T19:48:53.000-03:00,"02/05/2019,04/05/2019,11/05/2019,11/05/2019,16/05/2019,25/05/2019",6,2019-05-27 00:00:00-03:00,4.6,3,-1.5999999999999996,1,1,4.6,1,1,3,6,0.21739130434782605,0.6521739130434783
1,7759504,2019-05-28T17:31:08.000-03:00,2019-05-25T18:24:51.000-03:00,"03/04/2019,17/04/2019,20/04/2019,22/04/2019,23/05/2019,25/05/2019",6,2019-05-27 00:00:00-03:00,10.4,2,-8.4,1,1,10.4,1,1,2,6,0.09615384615384615,0.1923076923076923
2,1931121,2019-05-27T21:09:38.000-03:00,2019-05-25T20:14:48.000-03:00,"19/04/2019,23/04/2019,07/05/2019,14/05/2019,19/05/2019,25/05/2019",6,2019-05-27 00:00:00-03:00,7.2,2,-5.2,1,0,7.2,1,0,2,6,0.13888888888888884,0.2777777777777778
3,3653146,2019-05-28T17:40:09.000-03:00,2019-05-25T14:58:40.000-03:00,"08/05/2019,24/05/2019,25/05/2019",3,2019-05-27 00:00:00-03:00,8.5,3,-5.5,1,1,8.5,1,1,3,3,0.11764705882352944,0.35294117647058826
4,2570703,2019-05-29T18:59:41.000-03:00,2019-05-25T18:11:04.000-03:00,"07/04/2019,25/05/2019,27/04/2019,04/05/2019,13/05/2019,16/05/2019,22/05/2019",7,2019-05-27 00:00:00-03:00,8.0,4,-4.0,1,2,8.0,1,2,4,7,0.125,0.5
5,8904055,2019-05-28T15:32:06.000-03:00,2019-05-25T17:55:24.000-03:00,"01/04/2019,24/04/2019,06/05/2019,21/05/2019,25/05/2019",5,2019-05-27 00:00:00-03:00,13.5,2,-11.5,1,1,13.5,1,1,2,5,0.07407407407407407,0.14814814814814814
6,8818115,2019-05-27T18:07:59.000-03:00,2019-05-25T17:59:38.000-03:00,"06/04/2019,25/05/2019,07/05/2019,17/04/2019,08/04/2019,09/05/2019,20/04/2019,09/04/2019,13/05/2019,24/04/2019,11/04/2019,21/05/2019,26/04/2019,12/04/2019,22/05/2019,29/04/2019,15/04/2019",17,2019-05-27 00:00:00-03:00,3.0625,2,-1.0625,1,0,3.0625,1,0,2,17,0.326530612244898,0.6530612244897959
7,6323096,2019-05-28T16:23:24.000-03:00,2019-05-25T16:05:15.000-03:00,"16/04/2019,25/05/2019,03/05/2019,11/05/2019,13/05/2019,16/05/2019,23/05/2019",7,2019-05-27 00:00:00-03:00,6.5,3,-3.5,1,1,6.5,1,1,3,7,0.15384615384615385,0.46153846153846156
8,8564867,2019-05-27T15:41:04.000-03:00,2019-05-25T15:23:14.000-03:00,"06/04/2019,30/04/2019,06/05/2019,12/05/2019,20/05/2019,25/05/2019",6,2019-05-27 00:00:00-03:00,9.8,2,-7.800000000000001,1,0,9.8,1,0,2,6,0.10204081632653061,0.2040816326530612
9,131759,2019-05-30T16:05:01.000-03:00,2019-05-25T16:58:13.000-03:00,"18/04/2019,22/04/2019,25/05/2019",3,2019-05-27 00:00:00-03:00,18.5,4,-14.5,1,3,18.5,1,3,4,3,0.05405405405405406,0.21621621621621623
